City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,barrow,71.2906,-156.7887,-17.99,78,100,3.6,US,1675820439
1,busselton,-33.65,115.3333,24.42,50,0,2.56,AU,1675820766
2,camacha,33.0833,-16.3333,12.68,72,40,6.69,PT,1675821001
3,morro bay,35.3658,-120.8499,15.17,76,100,3.11,US,1675820810
4,yayva,59.3303,57.2641,-15.46,98,100,2.78,RU,1675821022
5,bambous virieux,-20.3428,57.7575,26.14,83,40,4.63,MU,1675820738
6,lorengau,-2.0226,147.2712,25.5,95,100,6.99,PG,1675821025
7,punta arenas,-53.15,-70.9167,12.06,76,0,4.12,CL,1675821010
8,mataura,-46.1927,168.8643,13.6,65,73,4.79,NZ,1675821037
9,hofn,64.2539,-15.2082,-0.19,71,100,8.21,IS,1675820938
10,puerto ayora,-0.7393,-90.3518,26.42,92,52,3.13,EC,1675821037
11,kirov,58.5966,49.6601,-11.34,92,100,4.42,RU,1675821006
12,stornoway,58.2093,-6.3865,7.98,79,100,15.43,GB,1675821048
13,san patricio,28.017,-97.5169,22.97,80,94,6.22,US,1675821049
14,rikitea,-23.1203,-134.9692,26.65,68,10,4.45,PF,1675820450
15,ahipara,-35.1667,173.1667,22.42,54,39,3.79,NZ,1675821049
16,ribeira grande,38.5167,-28.7,13.21,66,9,3.58,PT,1675820160
17,dikson,73.5069,80.5464,-22.37,90,100,9.73,RU,1675821049
18,hilo,19.7297,-155.09,25.16,91,100,6.69,US,1675821050
19,cape town,-33.9258,18.4232,21.23,72,0,6.26,ZA,1675820747
20,samarai,-10.6167,150.6667,28.07,76,100,5.62,PG,1675821050
21,bairiki,1.3292,172.9752,30.0,66,20,9.77,KI,1675821051
22,arraial do cabo,-22.9661,-42.0278,23.98,91,100,1.96,BR,1675821051
23,tuktoyaktuk,69.4541,-133.0374,-32.0,75,100,1.54,CA,1675821051
24,caxito,-8.5785,13.6643,22.96,89,99,1.49,AO,1675821052
25,miguel hidalgo,19.4225,-99.2028,20.24,37,5,1.34,MX,1675821052
26,ushuaia,-54.8,-68.3,9.81,71,20,5.14,AR,1675820812
27,khatanga,71.9667,102.5,-44.18,100,64,1.26,RU,1675821053
28,fortuna,40.5982,-124.1573,13.19,79,0,0.0,US,1675820825
29,leningradskiy,69.3833,178.4167,-31.18,96,100,2.19,RU,1675821053
30,brae,60.3964,-1.353,6.75,73,100,14.0,GB,1675821055
31,atuona,-9.8,-139.0333,26.27,74,28,7.37,PF,1675821056
32,kudahuvadhoo,2.6708,72.8944,26.82,72,37,2.6,MV,1675821056
33,ripky,51.801,31.0838,-10.67,96,46,2.26,UA,1675821057
34,saint-joseph,-21.3667,55.6167,24.21,80,70,6.26,RE,1675820874
35,klaksvik,62.2266,-6.589,8.51,84,100,25.39,FO,1675821057
36,guerrero negro,27.9769,-114.0611,18.27,30,0,2.89,MX,1675821058
37,nishio,34.8667,137.05,12.95,47,0,6.55,JP,1675821058
38,inhambane,-23.865,35.3833,25.37,87,8,3.0,MZ,1675821058
39,georgetown,5.4112,100.3354,27.96,88,20,3.6,MY,1675821056
40,belgrade,44.804,20.4651,-3.7,83,20,3.09,RS,1675820708
41,nicoya,10.1483,-85.452,25.0,72,61,5.6,CR,1675821059
42,gornyy,55.1153,83.9059,-19.05,98,100,3.27,RU,1675821059
43,luanda,-8.8368,13.2343,26.0,83,20,2.06,AO,1675821026
44,namatanai,-3.6667,152.4333,29.97,64,93,4.64,PG,1675821060
45,bluff,-46.6,168.3333,13.78,61,62,11.74,NZ,1675821060
46,ballina,-28.8667,153.5667,26.55,60,100,3.74,AU,1675821060
47,praia da vitoria,38.7333,-27.0667,13.14,71,75,5.07,PT,1675821061
48,hermanus,-34.4187,19.2345,19.89,83,0,5.29,ZA,1675820794
49,zlynka,52.4267,31.7378,-11.77,97,22,1.34,RU,1675821062
50,parati,-23.2178,-44.7131,23.58,97,100,0.23,BR,1675821063
51,te anau,-45.4167,167.7167,14.39,46,50,5.28,NZ,1675821068
52,pevek,69.7008,170.3133,-29.77,93,100,1.31,RU,1675821070
53,asau,46.4333,26.4,-5.49,97,97,1.97,RO,1675820935
54,nikolskoye,59.7035,30.7861,-1.06,86,100,4.5,RU,1675821072
55,srednekolymsk,67.45,153.6833,-32.9,96,100,2.39,RU,1675821073
56,areka,7.0667,37.7,14.61,30,1,1.91,ET,1675821074
57,krasnoselkup,65.7,82.4667,-29.18,100,100,3.19,RU,1675820822
58,tocopilla,-22.092,-70.1979,23.33,77,15,2.57,CL,1675821077
59,petropavlovsk-kamchatskiy,53.0452,158.6483,-9.67,48,20,3.0,RU,1675820833
